Name,Month,Services,Products,Retention,Location,StartingTier,Password
Chase Olcott,January,197,6,70,Manlius,2,Pass001
John Townsend,January,208,5,34,Manlius,1,Pass002
Mike Harris,January,299,5,77,Baldwinsville,3,Pass003
James Kerr,January,255,1,63,Manlius,2,Pass004
Miles Willis,January,167,3,77,Saratoga,3,Pass005
Owen Petzoldt,January,139,2,57,Manlius,2,Pass006
Mark Perry,January,158,2,61,Saratoga,2,Pass007
Chris Massaro,January,184,2,92,Baldwinsville,3,Pass008
Zach Fonda,January,212,4,85,Baldwinsville,3,Pass009
Connor Alexander,January,218,1,74,Baldwinsville,2,Pass010
Max Ritter,January,199,3,56,Baldwinsville,2,Pass011
Eddie Sharpe,January,83,1,60,Baldwinsville,1,Pass012
Taylor Klein,January,170,0,89,Manlius,3,Pass013
Lucas Boutin,January,161,0,85,Manlius,3,Pass014
Chase Olcott,February,197,6,70,Manlius,2,Pass001
John Townsend,February,208,5,34,Manlius,1,Pass002
Mike Harris,February,299,5,77,Baldwinsville,3,Pass003
James Kerr,February,255,1,63,Manlius,2,Pass004
Miles Willis,February,167,3,77,Saratoga,3,Pass005
Owen Petzoldt,February,139,2,57,Manlius,2,Pass006
Mark Perry,February,158,2,61,Saratoga,2,Pass007
Chris Massaro,February,184,2,92,Baldwinsville,3,Pass008
Zach Fonda,February,212,4,85,Baldwinsville,3,Pass009
Connor Alexander,February,218,1,74,Baldwinsville,2,Pass010
Max Ritter,February,199,3,56,Baldwinsville,2,Pass011
Eddie Sharpe,February,83,1,60,Baldwinsville,1,Pass012
Taylor Klein,February,170,0,89,Manlius,3,Pass013
Lucas Boutin,February,161,0,85,Manlius,3,Pass014
Chase Olcott,March,197,6,70,Manlius,2,Pass001
John Townsend,March,208,5,34,Manlius,1,Pass002
Mike Harris,March,299,5,77,Baldwinsville,3,Pass003
James Kerr,March,255,1,63,Manlius,2,Pass004
Miles Willis,March,167,3,77,Saratoga,3,Pass005
Owen Petzoldt,March,139,2,57,Manlius,2,Pass006
Mark Perry,March,158,2,61,Saratoga,2,Pass007
Chris Massaro,March,184,2,92,Baldwinsville,3,Pass008
Zach Fonda,March,212,4,85,Baldwinsville,3,Pass009
Connor Alexander,March,218,1,74,Baldwinsville,2,Pass010
Max Ritter,March,199,3,56,Baldwinsville,2,Pass011
Eddie Sharpe,March,83,1,60,Baldwinsville,1,Pass012
Taylor Klein,March,170,0,89,Manlius,3,Pass013
Lucas Boutin,March,161,0,85,Manlius,3,Pass014
Chase Olcott,April,197,6,70,Manlius,2,Pass001
John Townsend,April,208,5,34,Manlius,1,Pass002
Mike Harris,April,299,5,77,Baldwinsville,3,Pass003
James Kerr,April,255,1,63,Manlius,2,Pass004
Miles Willis,April,167,3,77,Saratoga,3,Pass005
Owen Petzoldt,April,139,2,57,Manlius,2,Pass006
Mark Perry,April,158,2,61,Saratoga,2,Pass007
Chris Massaro,April,184,2,92,Baldwinsville,3,Pass008
Zach Fonda,April,212,4,85,Baldwinsville,3,Pass009
Connor Alexander,April,218,1,74,Baldwinsville,2,Pass010
Max Ritter,April,199,3,56,Baldwinsville,2,Pass011
Eddie Sharpe,April,83,1,60,Baldwinsville,1,Pass012
Taylor Klein,April,170,0,89,Manlius,3,Pass013
Lucas Boutin,April,161,0,85,Manlius,3,Pass014
Chase Olcott,May,197,6,70,Manlius,2,Pass001
John Townsend,May,208,5,34,Manlius,1,Pass002
Mike Harris,May,299,5,77,Baldwinsville,3,Pass003
James Kerr,May,255,1,63,Manlius,2,Pass004
Miles Willis,May,167,3,77,Saratoga,3,Pass005
Owen Petzoldt,May,139,2,57,Manlius,2,Pass006
Mark Perry,May,158,2,61,Saratoga,2,Pass007
Chris Massaro,May,184,2,92,Baldwinsville,3,Pass008
Zach Fonda,May,212,4,85,Baldwinsville,3,Pass009
Connor Alexander,May,218,1,74,Baldwinsville,2,Pass010
Max Ritter,May,199,3,56,Baldwinsville,2,Pass011
Eddie Sharpe,May,83,1,60,Baldwinsville,1,Pass012
Taylor Klein,May,170,0,89,Manlius,3,Pass013
Lucas Boutin,May,161,0,85,Manlius,3,Pass014
Chase Olcott,June,197,6,70,Manlius,2,Pass001
John Townsend,June,208,5,34,Manlius,1,Pass002
Mike Harris,June,299,5,77,Baldwinsville,3,Pass003
James Kerr,June,255,1,63,Manlius,2,Pass004
Miles Willis,June,167,3,77,Saratoga,3,Pass005
Owen Petzoldt,June,139,2,57,Manlius,2,Pass006
Mark Perry,June,158,2,61,Saratoga,2,Pass007
Chris Massaro,June,184,2,92,Baldwinsville,3,Pass008
Zach Fonda,June,212,4,85,Baldwinsville,3,Pass009
Connor Alexander,June,218,1,74,Baldwinsville,2,Pass010
Max Ritter,June,199,3,56,Baldwinsville,2,Pass011
Eddie Sharpe,June,83,1,60,Baldwinsville,1,Pass012
Taylor Klein,June,170,0,89,Manlius,3,Pass013
Lucas Boutin,June,161,0,85,Manlius,3,Pass014
Chase Olcott,July,197,6,70,Manlius,2,Pass001
John Townsend,July,208,5,34,Manlius,1,Pass002
Mike Harris,July,299,5,77,Baldwinsville,3,Pass003
